,Unnamed: 0,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
0,0,"Milk, Peanuts, Wheat, Soybeans, Gluten",625,,72.9,2,72.9,"Thai Salad Topper (Napa Cabbage, Bean Sprouts, Shredded Carrot, Sesame Ginger Dressing (Filtered Water, Organic Soybean Oil, Organic Sugar, Organic White Vinegar, Organic Tamari Sauce (water, organic soybeans, salt, organic alcohol), Organic Sesame oil, Salt, Organic Garlic Puree, Organic Onion Powder, Organic Mustard Seed, Organic Ginger Powder, Organic Sesame Seeds, Organic Malt, Organic Ginger Extract, Xanthan Gum (thickener).), Green Onions, Mint, Cilantro), Flat Bread (Enriched unbleached wheat flour (wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, soybean oil, yeast, contains less than 2% of the following: powdered whey (a milk derivative), salt, sugar, wheat gluten, to preserve freshness (calcium propionate), leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate), guar gum, sodium stearoyl lactylate, enzyme.  May contain soy and sesame.), Fajita Chicken Strips (Boneless skinless chicken breast meat with rib meat and water. Contains 2% or less of: Modified tapioca starch, salt, dextrose, sodium phosphates, granulated garlic, spices, grill flavor (from soybean oil), granulated onion, modified food starch, corn syrup solids, spice extractives, soy lecithin, phosphate, carrageenan), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Peanut Sauce (Water, peanuts, soy sauce (water, wheat, soybeans, salt, sodium benzoate (preservative), sugar, sesame seed oil, white distilled vinegar, sherry wine, dehydrated garlic, hydrolyzed wheat and soy protein, spice, salt, hydrogenated vegetable oil (cottonseed, soybean and rapeseed oil), salt, modified cornstarch, xanthan gum, sodium benzoate (preservative), disodium inosinate and disodium guanylate, natural flavor, ethyl alcohol.), Toasted Sesame Seeds",16086958,0001-01-01T00:00:00,Thai Chicken,5.25,34.2,7.8,1/4 PIE,2320.3,Flatbread Specials,5.7,ALL,66.4,228,0
1,1,"Milk, Wheat, Soybeans, Gluten",504,,36.5,2,36.5,"Flat Bread (Enriched unbleached wheat flour (wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, soybean oil, yeast, contains less than 2% of the following: powdered whey (a milk derivative), salt, sugar, wheat gluten, to preserve freshness (calcium propionate), leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate), guar gum, sodium stearoyl lactylate, enzyme.  May contain soy and sesame.), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Tomatoes, Zucchini and onion, marinaded (Red Onion, FP Zucchini, sliced coin, Balsamic Vinaigrette ( Water, Soybean Oil, Imported Balsamic Vinegar (wine vinegar, grape must), White Wine Vinegar, Distilled Vinegar, Sugar, Contains less than 2% of Salt, Mustard Seed, Spice, Garlic*, Onion*, Xanthan Gum, Caramel Color, Autolyzed Yeast Extract, Natural and Artificial Flavor, Calcium Disodium EDTA (preservative), Disodium Inosinate, Disodium Guanylate. *Dried.)), Red Bell Pepper, Herbed Parmesan Cheese (Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Oregano, Black Pepper, Salt), Pizza Oil (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic (Garlic, Water, Citric Acid.), Oregano), Parsley",16086959,0001-01-01T00:00:00,Vegetarian,5.25,25.8,9,1/4 PIE,1113.9,Flatbread Specials,6.5,ALL,41.1,239,0
2,2,"Milk, Eggs, Wheat, Soybeans, Gluten",593,,71.2,2,71.2,"Black Bean Chipotle Patty (Water, onions, cooked black beans (black beans, water), cooked brown rice (water, brown rice), corn, vegetable oil (corn, canola and/or sunflower oil), soy flour, tomatoes, wheat gluten, green chiles, onion powder, egg whites, bulgur wheat, calcium caseinate (milk), cornstarch.Contains 2% or less of red bell peppers, green bell peppers, spices, cilantro, tomato juice, tomato powder, salt, chipotle peppers, cooked onion and carrot juice concentrate, jalapeno peppers, garlic powder, natural flavor, soy sauce powder (soybeans, wheat, salt), gum arabic, vinegar, citric acid, green pepper juice, garlic juice, lime juice), Brioche Bun (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Butter(sweet cream, natural flavorings), Eggs, Sugar, Whey, Yeast, Salt, Less than 2% of the following: Calcium Propionate, Enzymes, Calcium Sulfate), Shredded Iceberg Lettuce (Iceberg Lettuce), Sliced Tomatoes (Tomatoes), Jalapeno Cream (Milk (Milk, Vitamin D3.), Cream Cheese (Pasteurized milk and cream, whey protein concentrate, modified food starch, salt, cheese culture, guar gum, lactic acid, carob bean gum, xanthan gum, natamycin (a natural mold inhibitor).), Jalapenos, Salt, Black Pepper), Sundried Tomato Cream Cheese (Cream Cheese (Pasteurized milk and cream, whey protein concentrate, modified food starch, salt, cheese culture, guar gum, lactic acid, carob bean gum, xanthan gum, natamycin (a natural mold inhibitor).), Sun Dried Tomato Pesto (Water, Canola Oil, Dried Tomatoes, Parmesan Cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), Onions, Basil, Granulated Garlic, Garlic Powder, Salt, Black Pepper, Xanthan Gum.)), Avocado, Pepper Jack Cheese (Pasteurized Milk, Jalapeno Peppers, Cheese Cultures, Salt, Enzymes. )",16086960,0001-01-01T00:00:00,Club Med Burger,7.25,29.6,11,1 EACH,1100.6,Turbo Sandwich Special,13,ALL,63.1,246,0.2
3,3,"Wheat, Gluten",271,,0,2,0,"Plain Bagel  (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, 2% or Less of: Sugar, Salt, Dry Malt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.)",16086961,0001-01-01T00:00:00,Assorted Bagels,0.99,8.2,0,1 EACH,552.9,Breakfast Specials,3.5,ALL,54.1,11,0
4,4,"Milk, Eggs, Wheat, Gluten",805,,418.4,2,418.4,"Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Plain Bagel  (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, 2% or Less of: Sugar, Salt, Dry Malt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.), Bacon (Pork, Water, Salt, Sugar, Smoke Flavoring, Sodium Phosphate, Sodium Erythorbate, Flavoring, Sodium Nitrite.), Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring.)",16086962,0001-01-01T00:00:00,Bacon Breakfast Bagel,4.5,42.7,15.6,1 EACH,2083.9,Breakfast Specials,4.3,ALL,55.6,393,0
5,5,"Milk, Eggs, Wheat, Soybeans, Gluten",1171,,442.9,2,442.9,"Frijoles (Water, Refried Beans (Pinto beans, Interesterfied Soybean Oil (with TBHQ for freshness), Salt.)), Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Pico de Gallo (Tomatoes, Yellow Onions, Jalapenos, Cilantro, Lime Juice (Key west lime juice, sodium benzoate.), Salt), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cheddar Jack Cheese (Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color), Monterey Jack Cheese (pasteurized milk, cheese culture, salt, enzymes), Potato Starch & Powdered Cellulose, Natamycin.), Bacon (Pork, Water, Salt, Sugar, Smoke Flavoring, Sodium Phosphate, Sodium Erythorbate, Flavoring, Sodium Nitrite.)",16086963,0001-01-01T00:00:00,Bacon Breakfast Burrito,4.95,58.1,25.2,1 EACH,2651.9,Breakfast Specials,2.3,ALL,90.3,573,0
6,6,"Milk, Eggs, Wheat, Soybeans, Gluten",1075,,581.4,2,581.4,"Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Pico de Gallo (Tomatoes, Yellow Onions, Jalapenos, Cilantro, Lime Juice (Key west lime juice, sodium benzoate.), Salt), Cheddar Jack Cheese (Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color), Monterey Jack Cheese (pasteurized milk, cheese culture, salt, enzymes), Potato Starch & Powdered Cellulose, Natamycin.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Bacon (Pork, Water, Salt, Sugar, Smoke Flavoring, Sodium Phosphate, Sodium Erythorbate, Flavoring, Sodium Nitrite.)",16086964,0001-01-01T00:00:00,Bacon Breakfast Quesadilla,5.25,59.4,31.5,1 EACH,2415.8,Breakfast Specials,2.5,ALL,55,614,0
7,7,"Milk, Eggs, Wheat, Gluten",555,,379,2,379,"Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Plain Bagel  (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, 2% or Less of: Sugar, Salt, Dry Malt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.), Ham (Water, Natural Salt Blend (Potassium Chloride, Sea Salt), Turbinado Sugar, Salt, Cultured Celery Powder, Cherry Powder.), Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring.)",16086965,0001-01-01T00:00:00,Ham Breakfast Bagel,4.5,29.6,8.9,1 EACH,1142.7,Breakfast Specials,4.8,ALL,55.4,203,0
8,8,"Milk, Eggs, Wheat, Soybeans, Gluten",780,,360,2,360,"Frijoles (Water, Refried Beans (Pinto beans, Interesterfied Soybean Oil (with TBHQ for freshness), Salt.)), Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Pico de Gallo (Tomatoes, Yellow Onions, Jalapenos, Cilantro, Lime Juice (Key west lime juice, sodium benzoate.), Salt), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cheddar Jack Cheese (Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color), Monterey Jack Cheese (pasteurized milk, cheese culture, salt, enzymes), Potato Starch & Powdered Cellulose, Natamycin.), Ham (Water, Natural Salt Blend (Potassium Chloride, Sea Salt), Turbinado Sugar, Salt, Cultured Celery Powder, Cherry Powder.)",16086966,0001-01-01T00:00:00,Ham Breakfast Burrito,4.95,33.9,11,1 EACH,1343.6,Breakfast Specials,1.6,ALL,87.1,300,0
9,9,"Milk, Eggs, Wheat, Soybeans, Gluten",638,,484.4,2,484.4,"Scrambled Eggs (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Pico de Gallo (Tomatoes, Yellow Onions, Jalapenos, Cilantro, Lime Juice (Key west lime juice, sodium benzoate.), Salt), Cheddar Jack Cheese (Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color), Monterey Jack Cheese (pasteurized milk, cheese culture, salt, enzymes), Potato Starch & Powdered Cellulose, Natamycin.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Ham (Water, Natural Salt Blend (Potassium Chloride, Sea Salt), Turbinado Sugar, Salt, Cultured Celery Powder, Cherry Powder.)",16086967,0001-01-01T00:00:00,Ham Breakfast Quesadilla,5.25,32.7,13.8,1 EACH,1031.2,Breakfast Specials,2.6,ALL,52.6,304,0
