,allergens,calories,caloriesFromFat,cholesterol,dateRef,dietaryFiber,disclaimer,images,ingredients,itemID,menuDate,name,price,protein,saturatedFat,servingSize,sodium,station,sugars,tags,totalCarbohydrate,totalFat,transFat
0,"Milk, Wheat, Soybeans, Gluten",268,,6.6mg,0,7.9g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Avocado, 11 Grain Bread (Whole Wheat Flour, Whole Wheat Flour Ultragrain, Water, Multigrain Mix (Rye, Wheat, Corn, Rice, Oat, Triticale, Soy, Flax Seed, Barley, Millet), Sunflower Seeds, Whole Flax Seeds, Yeast, Salt, Sugar, Brown Sugar, Soybean Oil with Citric Acid, Rolled Oats, Less than 2% of the following: Vital Wheat Gluten, Calcium Propionate, Enzymes, Calcium Sulfate, Caramel Color. Made in a facility that processes wheat, soy, eggs, milk and tree nuts.), Tomatoes, Feta Cheese (Feta Cheese (pasteurized milk, cheese cultures, salt, enzymes), Natamycin (protect flavor).), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Parsley",15988794,2018-10-12T00:00:00-07:00,Avocado Toast,3.0,6.6g,2.6g,1 PORTN,330.4mg,Burger Lounge,3.1g,"BREAKFAST, TB,VT,MI,WH,SY,CG",30.2g,137,0g
1,"Milk, Wheat, Soybeans, Gluten",211,,0mg,0,2.3g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Pancakes (Water, Buttermilk Pancake ( Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour), Sugar, Dextrose, Defatted Soy Flour, Soybean Oil, Less Than 2% Of: Baking Soda, Buttermilk, Monocalcium Phosphate, Natural And Artificial Flavors (Contains Milk Derivatives), Salt, Sodium Acid Pyrophosphate, Yellow 5, Yellow 5 Lake, Yellow 6, Yellow 6 Lake. May contain eggs.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Blueberries",15988795,2018-10-12T00:00:00-07:00,Blueberry Pancakes,2.95,4.4g,0.4g,1 PORTN,578.8mg,Burger Lounge,7.8g,"BREAKFAST, VT,MI,EG,WH,SY,CG",44.6g,21,0g
2,,99,,16.5mg,0,0g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Bacon (Cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.)",15988796,2018-10-12T00:00:00-07:00,Bacon (1),0.85,6.6g,2.5g,1 EACH,413.4mg,Burger Lounge,0g,BREAKFAST,0g,75,0g
3,"Milk, Eggs, Wheat, Soybeans, Gluten",1226,,429.1mg,0,3.1g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"64D Beef Patty 3:1 (Beef Patty (Ground Black Angus Chuck, Water, Spice, Salt)), Brioche Bun (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Butter(sweet cream, natural flavorings), Eggs, Sugar, Whey, Yeast, Salt, Less than 2% of the following: Calcium Propionate, Enzymes, Calcium Sulfate), Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring.), Fried Egg (Cage Free Eggs, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Sliced Tomatoes (Tomatoes), Crispy Shallots (Shallots, Crispy Shallots, Seasoned flour (Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Fair Trade Light Brown Sugar, Salt, Granulated Garlic, Paprika, Onion Powder, Black Pepper, Chili Powder (Chili pepper, Salt, Cumin, Silicon dioxide, Oregano, Garlic.)), Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)), Bacon Slices (Bacon (Cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.)), Dijonnaise Sauce (Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.)), Iceberg Lettuce, Hamburger Pickles (Cucumbers, Water, Salt, Vinegar, Calcium Chloride, Sodium Benzoate (preservative), Natural Flavor, Spices.), Clarified Butter  (Pasteurized cream)",15988797,2018-10-12T00:00:00-07:00,Barnyard Burger,8.25,53.5g,37.2g,1 EACH,2295.6mg,Burger Lounge,9.6g,"BREAKFAST, MI,EG,WH,SY,CG",48.7g,808,1.4g
4,"Milk, Eggs, Wheat, Soybeans, Gluten",496,,228.9mg,0,2g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Sourdough Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Sour Culture, Salt, Less than 2% of the following: Vital Wheat Gluten, Yeast, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk, and tree nuts.), Cage Free Eggs, Ham (Water, Natural Salt Blend (Potassium Chloride, Sea Salt), Turbinado Sugar, Salt, Cultured Celery Powder, Cherry Powder.), American Cheese (Cultured Milk, Skim Milk, Water, Cream, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (preservative), Citric Acid, Color (annatto, paprika, apocarotenal, beta carotene), Acetic Acid, Enzymes, Soy Lecithin.), Clarified Butter  (Pasteurized cream)",15988798,2018-10-12T00:00:00-07:00,Ham Bobcat Sandwich,3.95,28.3g,10.5g,1 EACH,1458.3mg,Burger Lounge,2.5g,"BREAKFAST, MI,EG,WH,SY,CG",47.7g,190,0g
5,,153,,38mg,0,0g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Sausage Link (Pork, Water, Salt, 2% Or Less Of: Corn Syrup Solids, Sodium Phosphates, Spices, Sugar, Dextrose, Natural Flavorings, BHT, Propyl Gallate, Citric Acid, Caramel Color.)",15988799,2018-10-12T00:00:00-07:00,Pork Sausage Links (2),0.95,8.8g,4.1g,2 EACH,404.5mg,Burger Lounge,0g,BREAKFAST,0g,116,0.1g
6,"Milk, Eggs, Wheat, Soybeans, Gluten",210,,7.7mg,0,4.4g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"English Muffin (Whole Wheat Flour, Water, Farina, Wheat Gluten, Yeast, Sugar, Salt, Preservatives (calcium propionate, sorbic acid), Grain Vinegar, Natural Flavor, Sodium Stearoyl Lactylate, Mono- and Diglycerides, Ethoxylated Mono- and Diglycerides, Sucralose, Soy Flour, Nonfat Milk, Whey), Egg Whites (Egg Whites, Less than 1%: Vegetable Gums (xanthan and guar gum), Color (includes beta carotene), Vitamins and Minerals: Calcium Sulfate, Iron (ferric phosphate), Vitamin E (alpha tocopheryl acetate), Zinc Sulfate, Calcium Pantothenate, Vitamin B12, Vitamin B1 (thiamin mononitrate), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Folic Acid (B vitamin), Biotin, Vitamin D2.), Spinach, Mozzarella (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",15988800,2018-10-12T00:00:00-07:00,Spinach & Egg White Sandwich,2.95,15.5g,1.8g,1 EACH,415.4mg,Burger Lounge,4.8g,"BREAKFAST, VT,TB,MI,EG,WH,SY,CG",25.2g,55,0g
7,"Milk, Eggs, Wheat, Soybeans, Gluten",70,,0mg,0,1g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Veggie Breakfast Sausage (Water, wheat gluten, soy flour, egg whites, corn oil, soy protein concentrate, sodium caseinate, modified tapioca starch, contains two percent or less of lactose, soybean oil (with tbhq for freshness), soy protein isolate, autolyzed yeast extract, spices, natural and artificial flavors, methylcellulose, sodium tripolyphosphate, salt, hydrolyzed wheat gluten, disodium inosinate, caramel color, modified corn starch, whey, hydrolyzed corn gluten, maltodextrin, hydrolyzed soy protein, potassium chloride, dextrose, onion powder, disodium guanylate, tetrasodium pyrophosphate, tricalcium phosphate, hydrolyzed wheat protein, sodium hexametaphosphate, succinic acid, niacinamide, monosodium phosphate, lactic acid, ascorbic acid, brewer's yeast, torula yeast, calcium phosphate, soy lecithin, iron (ferrous sulfate), vitamin b1 (thiamin mononitrate), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b12.)",15988801,2018-10-12T00:00:00-07:00,Veggie Sausage,1.09,9g,0g,1 EACH,250mg,Burger Lounge,1g,"BREAKFAST, VT,MI,EG,WH,SY,CG",4g,23,0g
8,"Milk, Eggs, Wheat, Soybeans, Gluten",1226,,429.1mg,0,3.1g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"64D Beef Patty 3:1 (Beef Patty (Ground Black Angus Chuck, Water, Spice, Salt)), Brioche Bun (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Butter(sweet cream, natural flavorings), Eggs, Sugar, Whey, Yeast, Salt, Less than 2% of the following: Calcium Propionate, Enzymes, Calcium Sulfate), Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring.), Fried Egg (Cage Free Eggs, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)), Sliced Tomatoes (Tomatoes), Crispy Shallots (Shallots, Crispy Shallots, Seasoned flour (Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Fair Trade Light Brown Sugar, Salt, Granulated Garlic, Paprika, Onion Powder, Black Pepper, Chili Powder (Chili pepper, Salt, Cumin, Silicon dioxide, Oregano, Garlic.)), Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)), Bacon Slices (Bacon (Cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.)), Dijonnaise Sauce (Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.)), Iceberg Lettuce, Hamburger Pickles (Cucumbers, Water, Salt, Vinegar, Calcium Chloride, Sodium Benzoate (preservative), Natural Flavor, Spices.), Clarified Butter  (Pasteurized cream)",15988809,2018-10-12T00:00:00-07:00,Barnyard Burger,8.25,53.5g,37.2g,1 EACH,2295.6mg,Burger Lounge,9.6g,"LUNCH, MI,EG,WH,SY,CG",48.7g,808,1.4g
9,"Milk, Eggs, Wheat, Soybeans, Gluten",465,,22.8mg,0,10.5g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Black Bean Chipotle Patty (Water, onions, cooked black beans (black beans, water), cooked brown rice (water, brown rice), corn, vegetable oil (corn, canola and/or sunflower oil), soy flour, tomatoes, wheat gluten, green chiles, onion powder, egg whites, bulgur wheat, calcium caseinate (milk), cornstarch.Contains 2% or less of red bell peppers, green bell peppers, spices, cilantro, tomato juice, tomato powder, salt, chipotle peppers, cooked onion and carrot juice concentrate, jalapeno peppers, garlic powder, natural flavor, soy sauce powder (soybeans, wheat, salt), gum arabic, vinegar, citric acid, green pepper juice, garlic juice, lime juice), Standard Burger Setup (Sliced Tomatoes (Tomatoes), Green Leaf Crowns (Green Leaf Lettuce), Half Slices Red Onions (Red Onion)), Brioche Bun (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Butter(sweet cream, natural flavorings), Eggs, Sugar, Whey, Yeast, Salt, Less than 2% of the following: Calcium Propionate, Enzymes, Calcium Sulfate), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",15988810,2018-10-12T00:00:00-07:00,Chipotle Black Bean Burger,5.95,22.1g,1.8g,1 EACH,655.1mg,Burger Lounge,10.5g,"LUNCH, VT,MI,EG,WH,SY,CG",58.9g,166,0g
