,allergens,calories,caloriesFromFat,cholesterol,dateRef,dietaryFiber,disclaimer,images,ingredients,itemID,menuDate,name,price,protein,saturatedFat,servingSize,sodium,station,sugars,tags,totalCarbohydrate,totalFat,transFat
0,"Milk, Eggs, Wheat, Soybeans, Gluten",571,,227.5mg,0,5.5g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Iceberg Lettuce, Blue Cheese Dressing (Soybean Oil, Water, Distilled Vinegar, Blue Cheese (milk, cheese cultures, salt, enzymes), Salt, Sugar, Egg Yolk, Xantham Gum, Buttermilk Powder, Potassium Sorbate and Sodium Benzoate (preservatives), Lemon Juice Concentrate, Propylene, Glycol Alginate, Dehydrated Garlic, Calcium Disodium EDTA (protect flavor).), Tomatoes, Hardboiled Eggs, Avocado, Blue Cheese (Blue Cheese (pasteurized milk, cheese cultures, salt, enzymes), Powdered Cellulose (to prevent caking), Natamycin (mold inhibitor).), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085316,2018-10-13T00:00:00-07:00,3rd Kitchen House Salad,6.5,17.5g,11.7g,1 EA,1082.7mg,40/40/20,6.5g,"DINNER, VT,MI,EG,WH,SY,CG",23.1g,432,0.8g
1,"Milk, Wheat, Soybeans, Gluten",223,,0.4mg,0,11.1g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Romaine Lettuce, Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Tomatoes, Cucumber, Sliced Olives (Ripe Olives, Water, Salt, Ferrous Gluconate (to stabilize color).), Red Onion, Balsamic Vinaigrette ( Water, Soybean Oil, Imported Balsamic Vinegar (wine vinegar, grape must), White Wine Vinegar, Distilled Vinegar, Sugar, Contains less than 2% of Salt, Mustard Seed, Spice, Garlic*, Onion*, Xanthan Gum, Caramel Color, Autolyzed Yeast Extract, Natural and Artificial Flavor, Calcium Disodium EDTA (preservative), Disodium Inosinate, Disodium Guanylate. *Dried.), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085317,2018-10-13T00:00:00-07:00,Fattoush Greek Salad,6.5,6.9g,0.9g,1 EA,606.6mg,40/40/20,8g,"DINNER, TB,VT,MI,WH,SY,CG",31.9g,85,0g
2,"Milk, Eggs, Fish, Wheat, Soybeans, Gluten",731,,89.8mg,0,6.3g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Romaine Hearts, Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Jalapeno Caesar Dressing (Caesar Dressing (Soybean Oil, Water, Egg Yolk, Lemon Juice Concentrate, Salt, White Wine & Distilled Vinegars, Spices (including mustard seed), Parmesan Cheese (part-skim milk, cheese culture, salt, enzymes), Dried Garlic, Sodium Benzoate & Potassium Sorbate (preservatives), Dried Onion, Extra Virgin Olive Oil, Xanthan Gum, Natural Flavors, Propylene Glycol Alginate, Molasses, Corn Syrup, Caramel Color, Sugar, Tamarind, Calcium Disodium EDTA (protect flavor), Anchovies.), Jalapenos, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Tomatoes, Kale, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Pepitas Seeds",16085318,2018-10-13T00:00:00-07:00,Jalapeno Kale Caesar,6.5,40g,11.6g,1 EA,1274.6mg,40/40/20,8.1g,"DINNER, MI,EG,FI,WH,SY,CG",29.3g,469,0g
3,"Milk, Wheat, Gluten",407,,0.4mg,0,12.2g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Romaine Lettuce, Broccoli, Cauliflower, Roasted Butternut Squash (Butternut Squash, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, White Pepper), Pomegranate Vinaigrette (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), BV POM Pomegranate Juice 24 Oz, Agave (100% pure organic agave nectar), Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Blueberries, Salt, Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.), White Pepper), Red Onion, Organic Garbanzo Beans (Water, organic garbanzo beans, sea salt), Zucchini, Squash, Spinach, Kale, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085319,2018-10-13T00:00:00-07:00,Power House,6.5,11.7g,2.1g,1 EA,549.9mg,40/40/20,7.4g,"DINNER, TB,VT,MI,WH,CG",39.6g,239,0g
4,"Milk, Wheat, Soybeans, Gluten",476,,45.2mg,0,8.7g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Iceberg Lettuce, Spicy Thai Dressing (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Agave (100% pure organic agave nectar), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Green Onions, Garlic, Ginger, Salt, Lemon, White Pepper), Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Mini Sweet Peppers, Cucumber, Mandarin Oranges (Mandarin Oranges, Water, Sugar, Citric Acid.), Edamame, Carrots, Bean Sprouts, Tomatoes, Spring Mix, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085320,2018-10-13T00:00:00-07:00,Spicy Thai Salad,6.5,25.4g,2.4g,1 EA,502.4mg,40/40/20,14.3g,"DINNER, TB,MI,WH,SY,CG",36.9g,243,0g
5,"Milk, Wheat, Soybeans, Gluten",599,,6.9mg,0,9.2g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Spinach, Pomegranate Vinaigrette (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), BV POM Pomegranate Juice 24 Oz, Agave (100% pure organic agave nectar), Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Blueberries, Salt, Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.), White Pepper), Spinach, Mandarin Oranges (Mandarin Oranges, Water, Sugar, Citric Acid.), Strawberry, Edamame, Red Onion, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Gouda Cheese (Gouda Cheese (milk, cheese cultures, enzymes, salt), Water, Sodium Phosphate, Potassium Sorbate (preservative), Apo-Carotenal (color).)",16085321,2018-10-13T00:00:00-07:00,Strawberry Spinach,6.5,14g,4.4g,1 EA,445.4mg,40/40/20,15.9g,"DINNER, TB,VT,MI,WH,SY,CG",36.7g,437,0g
6,"Milk, Wheat, Gluten",1055,,58.5mg,0,8.1g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Cauliflower White (Water, Cauliflower, Garlic, Heavy Cream (Milk, Carrageenan, Mono- and Diglycerides, Polysorbate 80), Salt, White Pepper, Thyme), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Spinach, Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Tomatoes",16085280,2018-10-13T00:00:00-07:00,Artichoke & Spinach,8.5,43.7g,15.5g,1 ROUND,1368mg,Scholars Pizza,1.9g,"LUNCH, VT,MI,WH,CG",106.2g,470,0g
7,"Milk, Eggs, Wheat, Gluten",1104,,144.1mg,0,8.2g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Roasted Chimichurri Beef (Ground Beef, Chimichurri Sauce (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic, Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Parsley, Red Onion, Lemon, Oregano, Salt, Black Pepper), Salt, White Pepper), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Roasted Chicken Sausage Meatball (Halal Ground Chicken, Cage Free Eggs, Ras El Hanout Spice Rub (All Spice, Ground Ginger, Turmeric, Salt, Cayenne Pepper, Ground Nutmeg, White Pepper, Ground Cloves), Garlic, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Thyme, Parsley, Oregano, Red Pepper, Salt, White Pepper), Mini Sweet Peppers, Red Onion, Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Sliced Mushroom, Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper)",16085281,2018-10-13T00:00:00-07:00,Cattleman,10.5,69.7g,14.7g,1 ROUND,1849.6mg,Scholars Pizza,9.4g,"LUNCH, MI,EG,WH,CG",119.6g,348,0.5g
8,"Milk, Wheat, Gluten",777,,45.9mg,0,5.9g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper)",16085282,2018-10-13T00:00:00-07:00,Cheese Pizza,6.0,38.7g,9.3g,1 ROUND,1230.1mg,Scholars Pizza,5.8g,"LUNCH, VT,MI,WH,CG",108.2g,194,0g
9,"Milk, Wheat, Gluten",1053,,100.3mg,0,9.2g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Tomatoes",16085283,2018-10-13T00:00:00-07:00,Chicken Artichoke,8.5,59.8g,13.7g,1 ROUND,1623.7mg,Scholars Pizza,6.3g,"LUNCH, MI,WH,CG",113.7g,366,0g
