,allergens,calories,caloriesFromFat,cholesterol,dateRef,dietaryFiber,disclaimer,images,ingredients,itemID,menuDate,name,price,protein,saturatedFat,servingSize,sodium,station,sugars,tags,totalCarbohydrate,totalFat,transFat
0,"Fish, Crustacean Shellfish, Wheat, Soybeans, Gluten",286,,56.7mg,0,1.3g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",," Big Eye Tuna, Salmon, Poke Marinade (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Oyster Sauce (Water, Sugar, Salt, Oyster Extract (oyster, water, salt), Monosodium Glutamate (flavor enhancer), Modified Corn Starch, Wheat Flour, Caramel Color.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Garlic, Ginger), Cucumber, Edamame, Daikon Carrot Garnish (Daikon Root, Carrots), Toasted Sesame Seeds, Nori Seaweed (Ginger, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Potassium Sorbate, Food Color (red 40).)",16088863,0001-01-01T00:00:00,Ahi and Salmon Poke,8.0,27.2g,2.9g,1 PLATE,644.7mg,Starters,1.6g,"ALL DAY, FI,SF,WH,SY,CG",5.2g,148,0g
1,"Wheat, Soybeans, Gluten",533,,68.5mg,0,5.9g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Organic Lettuce, Roasted Hoisin Marinated Chicken (Halal Chicken, Hoisin Glaze (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Honey, Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Canola Oil, Cilantro, Garlic, Green Onions, peppercorns, Star Anise)), Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Cherry Tomatoes, Edamame, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt)",16088864,0001-01-01T00:00:00,Bistro Salad w/ Hoisin Chicken,9.0,28.1g,5.2g,1 PLATE,653.4mg,Starters,9.8g,"ALL DAY, WH,SY,CG",22.5g,329,0.1g
2,Soybeans,77,,21.8mg,0,0.5g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Garlic Marinated Beef for Yakitori (Tri Tip, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic, Ginger), Shishito Peppers, Green Onions",16088865,0001-01-01T00:00:00,Garlic Beef Yakitori Skewer,3.0,7.8g,0.9g,1 EACH,72.4mg,Starters,1.4g,"ALL DAY, TB,SY",2.2g,36,0g
3,"Fish, Soybeans",40,,0mg,0,0.7g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Water, Tofu (Water, Soybeans, Calcium sulfate.), Miso Base (Miso (filtered water, soybeans {non-genetically modified}, rice, sea salt, alcohol), filtered water, alcohol, sea salt, yeast extract, bonito powder. ), Green Onions",16088866,0001-01-01T00:00:00,Miso Soup,3.0,3.7g,0.2g,1 BOWL,391.1mg,Starters,0.8g,"ALL DAY, FI,SY",2.4g,17,0g
4,"Eggs, Fish, Wheat, Soybeans, Gluten",413,,85mg,0,3.8g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Cabbage, Okonomiyaki Savory Japanese Pancake Batter (Water, Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Cage Free Eggs, Corn Starch, Salt, Baking Powder), Okono Mayo Sauce (Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Organic Sugar), Okonomi Sauce (Vegan Gluten Free Worcestershire Sauce  (water, molasses, salt, high fructose corn syrup, acetic acid, caramel color, hydrolyzed soy protein (soy), gluten free flour (millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, zanthan gum), natural flavor, guar gum, and benzoate of soda.), Ketchup (Tomato Concentrate, High Fructose Corn Syrup, Corn Syrup, Distilled Vinegar, Salt, Natural Flavor, Onion Powder, Spice, Garlic Powder.), Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Honey), Ahimi (Tomato, soy sauce, sugar, water, sesame oil.), Bean Sprouts, Green Onions, Rice Seasoning (Sesame Seed, Horseradish, Shaved Bonito, Japanese Mustard Plant, Sugar, Seaweed, Soy Sauce (water, soybean, wheat, salt), Salt, Cooking Rice Wine (rice, alcohol, water).), Dried Fish Shavings (Skipjack Tuna.)",16088867,0001-01-01T00:00:00,Okonomiyaki Japanese Savory Pancake,5.0,7.7g,4g,1 PORTN,1041mg,Starters,15.9g,"ALL DAY, EG,FI,WH,SY,CG",41.4g,213,0.1g
5,Soybeans,210,,0mg,0,8.3g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Edamame, Black Sesame Seed, Salt",16088868,0001-01-01T00:00:00,Steamed Edamame,3.0,20.8g,0g,1 PLATE,192.7mg,Starters,6.2g,"ALL DAY, VG,TB,SY",14.5g,67,0g
6,"Fish, Tree Nuts, Soybeans",686,,63.5mg,0,3g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Tom Kha Broth (Chicken Stock (Water, Carrots, Yellow Onions, Celery, Cracked Black Pepper, Parsley, Cilantro, Bay Leaves), Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Fish Sauce (Water, Anchovy Extract, Salt, Sugar.), Ginger, Lime Juice (Key west lime juice, sodium benzoate.), Fair Trade Organic Sugar Cane, Lemon Grass, LIME LEAVES, Salt), Charred Vegetables (Mixed Color Baby Carrots, Snap Peas, Broccolini, Shitake Mushrooms, Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.)), Roasted Chicken Breast ( Breast Chicken B/S Fresh, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Chili Oil (Canola Oil, Red Pepper, Garlic), Sliced Bamboo Shoots (Bamboo Shoots, Water, Citric Acid.), Cilantro",16088869,0001-01-01T00:00:00,Tom Kha Soup,5.0,26.6g,21.1g,1 EACH,1460.6mg,Starters,9.1g,"ALL DAY, FI,TN,SY",18.9g,518,0.1g
7,"Eggs, Wheat, Soybeans, Gluten",225,,5.8mg,0,1.5g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Fried Won Ton Chips (Wonton Skins (Wheat Flour, Water, Eggs, Salt, Sodium Benzoate, Enzyme, Dusted with Cornstarch. ), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)), Bistro Edamame Hummus (Edamame, Tahini Sesame Paste (Pure Ground Hulled Sesame Seeds.), Water, Lime Juice (Key west lime juice, sodium benzoate.), Garlic, Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Cilantro, Salt, Ground Coriander, Ground Cumin), Sweet Chili Sauce (Sugar, Water, Pickled Red Chili, Vinegar, Garlic, Salt, Xanthan Gum (stabilizer).), Nori Seaweed (Ginger, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Potassium Sorbate, Food Color (red 40).)",16088870,0001-01-01T00:00:00,WonTon Hummus Plate,2.0,7.7g,0.8g,1 EACH,1202.4mg,Starters,7.9g,"ALL DAY, VT,EG,WH,SY,CG",29.5g,73,0g
8,Soybeans,323,,0mg,0,5.8g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Organic Lettuce, Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Cherry Tomatoes, Edamame, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt)",16088871,0001-01-01T00:00:00,Bistro Green Salad,6.0,6.4g,1.8g,1 PLATE,532.4mg,Share Plates,8.9g,"ALL DAY, TB,VG,SY",21.5g,215,0.1g
9,Soybeans,212,,0mg,0,3.5g,"Please be aware that UCSD Housing Dining Hospitality Services handles and prepares egg, milk, wheat, shellfish, fish, soy, peanut, tree nut products, and other potential allergens in our restaurants and kitchens. UCSD Housing Dining Hospitality Services strives to provide our customers with the most accurate, current nutrition and allergen information present in our menu items on campus. The nutritional information and allergens identified for each of our items have been auto-generated from our recipe management database system. However, there is always a chance that changes have occurred in the manufacturing of products off-site, which may occur without our knowledge. Similarly, there is always a possibility that certain ingredients may be substituted on the actual day of preparation. Thus, we cannot guarantee that a particular dish or item is free of a certain ingredient. Particularly for those individuals with sensitive food allergies, we want to inform you of this risk. We are in the process of verifying our nutrition information and allergens. Should you have any questions, please contact our nutrition team at HDHdiningmenus@ucsd.edu.",,"Organic Lettuce, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Cherry Tomatoes, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt), Edamame",16088872,0001-01-01T00:00:00,Bistro Green Salad Half Order,3.0,3.8g,1.2g,1 PLATE,350.4mg,Share Plates,5.1g,"ALL DAY, VG,TB,SY",13.8g,145,0.1g
