,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
0,"Milk, Eggs, Wheat, Soybeans, Gluten",473,,16.5,0,16.5,"Complete Waffle Mix (Malted Vanilla: Contains: Wheat Flour, Corn Meal, May Contain One of the Following (soybean oil, sunflower oil, or coconut oil), Sugar, Whole Egg, Leavening (baking soda, sodium aluminum phosphate, monocalcium phosphate), Soy Flour, Malt, Nonfat Milk, Salt, Artificial Flavor.), Water",16086575,0001-01-01T00:00:00,Belgian Waffles,2.95,9.5,2.4,1 EACH,1719.1,La Pasticceria,21.3,BREAKFAST,104,43,0
1,"Milk, Fish, Wheat, Gluten",727,,123,0,123,"Everything Bagel (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, Poppy Seeds, Sesame Seeds, Sunflower Seeds, 2% or Less of: Sugar, Wheat Gluten, Salt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.), Smoked Salmon Lox, Cream Cheese (Pasteurized milk and cream, whey protein concentrate, modified food starch, salt, cheese culture, guar gum, lactic acid, carob bean gum, xanthan gum, natamycin (a natural mold inhibitor).), Half Slices Red Onions (Red Onion), Sliced Tomatoes (Tomatoes), Spanish Capers (Capers, Water, Vinegar, Salt.), Alfalfa Sprouts",16086576,0001-01-01T00:00:00,Salmon Bagel Bar,6.95,35.4,14.9,1 EACH,1157.3,La Pasticceria,7.8,BREAKFAST,52.8,375,0.6
2,"Soybeans, Gluten",249,,0,0,0,"Steel Cut Oatmeal (Steel Cut Oats (100% Whole Grain Irish Oats. May Contain Milk,Soy,Tree Nuts,Wheat)), Bob's Red Mill Gluten Free Honey Granola (Whole Grain Oats, Sugar, Canola Oil, Rice Flour, Honey, Salt, Brown Sugar Syrup, Baking Soda, Soy Lecithin, Natural Flavor. )",16086577,0001-01-01T00:00:00,Steelcut Oatmeal,1.95,7.4,1,10 OZ,57.8,La Pasticceria,7.8,BREAKFAST,44.7,49,0
3,"Milk, Wheat, Gluten",540,,87.6,0,87.6,"Everything Bagel (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, Poppy Seeds, Sesame Seeds, Sunflower Seeds, 2% or Less of: Sugar, Wheat Gluten, Salt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.), Turkey (Turkey breast, turkey broth, contains less that 2% of salt, dextrose, potassium lactate, potassium acetate, modified food starch, carrageenan, sodium phosphate, sodium diacetate.), Cream Cheese (Pasteurized milk and cream, whey protein concentrate, modified food starch, salt, cheese culture, guar gum, lactic acid, carob bean gum, xanthan gum, natamycin (a natural mold inhibitor).), Half Slices Red Onions (Red Onion), Sliced Tomatoes (Tomatoes), Alfalfa Sprouts, Spanish Capers (Capers, Water, Vinegar, Salt.)",16086578,0001-01-01T00:00:00,Turkey Bagel,5.95,24.1,11,1 EACH,1356.6,La Pasticceria,7.8,BREAKFAST,55.3,227,0.6
4,"Milk, Wheat, Gluten",483,,62.4,0,62.4,"Everything Bagel (Unbleached Enriched Wheat Flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, Poppy Seeds, Sesame Seeds, Sunflower Seeds, 2% or Less of: Sugar, Wheat Gluten, Salt, Yeast, Calcium Propionate, Malted Barley Flour, Molasses, Mono & Diglycerides, Ascorbic Acid, L-Cysteine Hydrochloride, Azodicarbonamide, Enzymes, Ammonium Chloride.), Cream Cheese (Pasteurized milk and cream, whey protein concentrate, modified food starch, salt, cheese culture, guar gum, lactic acid, carob bean gum, xanthan gum, natamycin (a natural mold inhibitor).), Half Slices Red Onions (Red Onion), Sliced Tomatoes (Tomatoes), Alfalfa Sprouts, Spanish Capers (Capers, Water, Vinegar, Salt.)",16086579,0001-01-01T00:00:00,Vegetarian Bagel,3.95,12.8,11,1 EACH,764.4,La Pasticceria,7.8,BREAKFAST,52.8,221,0.6
5,"Milk, Wheat, Soybeans, Gluten",992,,81.8,0,81.8,"Cooked Chicken Fritter  (Chicken Tenderloins, Water, Seasoning (maltodextrin, salt, sugar, chicken stock, vegetable stock [carrot, onion, celery], flavors, carrot powder, garlic powder), Sodium Phosphates, Salt, Modified Food Starch, Breaded with: Bleached Wheat Flour, Water, Wheat Flour, Salt, Wheat Gluten, Leavening (sodium bicarbonate, sodium aluminum phosphate, sodium acid pyrophosphate, monocalcium phosphate), Sugar, Yeast Extract, Yellow Corn Flour, Dextrose, Onion Powder, Yeast, Garlic Powder, Paprika Extracts, Turmeric, Annatto, Spice, Disodium Inosinate, Disodium Guanylate, Set in Vegetable Oil (Soy).), Marinara Sauce (Tomato Puree (Water, Tomato Paste), Tomatoes, Onions, Less than 2% of: Brown Sugar, Extra Virgin Olive Oil, Salt, Citric Acid, Basil, Garlic Powder, Dried Oregano, Onion Powder, Natural Flavor, Black Pepper, Dried Parsley, Ground Fennel, Ground Savory, Ground Thyme, Calcium Chloride. Kosher.), Deli Roll (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Soybean Oil with Citric acid, Fresh Yeast, Salt, Sugar, 2% or Less of: Vital Wheat Gluten, Calcium Propionate, Enzymes, Calcium Sulfate.), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Parmesan Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)",16086580,0001-01-01T00:00:00,Chicken Parmesan Sandwich,6.50,49.3,13.4,1 EACH,2220.3,BBQ Special,8.6,LUNCH,77.3,491,1.4
6,"Milk, Wheat, Soybeans, Gluten",425,,44.2,0,44.2,"White Jumbo Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid), Water, Soybean Oil with Citric Acid, Fresh Yeast, Salt, Sugar, 2% or Less of: Vital Wheat Gluten, Calcium Propionate, Enzymes, Calcium Sulfate.), American Cheese (Cultured Milk, Skim Milk, Water, Cream, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (preservative), Citric Acid, Color (annatto, paprika, apocarotenal, beta carotene), Acetic Acid, Enzymes, Soy Lecithin.)",16086581,0001-01-01T00:00:00,Grilled Cheese Sandwich,2.95,18.2,8.4,1 EACH,1186.1,Deli,5.2,LUNCH,50,149,0
7,"Milk, Eggs, Wheat, Soybeans, Gluten",491,,29.7,0,29.7,"Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.), Ham (Water, Natural Salt Blend (Potassium Chloride, Sea Salt), Turbinado Sugar, Salt, Cultured Celery Powder, Cherry Powder.)",16086582,0001-01-01T00:00:00,Ham Sandwich,6.95,17.1,5.5,1 EACH,818,Deli,4.7,LUNCH,58.4,192,0
8,"Milk, Eggs, Wheat, Soybeans, Gluten",583,,75.7,0,75.7,"Roast Beef (Water, Cultured Corn Sugar and Vinegar, Salt, Sodium Phosphate, and Natural Flavorings; Rubbed With: Sugar, Natural Flavorings, Salt, Caramel Color, Dextrose, Dried Beef Stock, Maltodextrin, Paprika.), Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.)",16086583,0001-01-01T00:00:00,Roast Beef Sandwich,6.95,33.7,6.4,1 EACH,1258.3,Deli,4.7,LUNCH,58.4,216,0
9,"Milk, Eggs, Fish, Wheat, Soybeans, Gluten",631,,62.7,0,62.7,"Tuna Salad (Albacore Tuna (White Tuna, Water, Vegetable Broth (contains Soy), Salt.), Celery, Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Sweet Pickle Relish (Cucumbers, High Fructose Corn Syrup, Corn Syrup, Vinegar, Salt, 2% or Less of: Dehydrated Spices, Natural Flavors, Dehydrated Onion, Xanthan Gum, Calcium Chloride, Sodium Benzoate & Potassium Sorbate (preservatives), Alum, Yellow 5.), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.), White Pepper), Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.)",16086584,0001-01-01T00:00:00,Tuna Sandwich,5.95,37.6,6.1,1 EACH,1093.2,Deli,5.8,LUNCH,60.2,244,0
