,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
0,"Fish, Crustacean Shellfish, Wheat, Soybeans, Gluten",286,,56.7,0,56.7," Big Eye Tuna, Salmon, Poke Marinade (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Oyster Sauce (Water, Sugar, Salt, Oyster Extract (oyster, water, salt), Monosodium Glutamate (flavor enhancer), Modified Corn Starch, Wheat Flour, Caramel Color.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Garlic, Ginger), Cucumber, Edamame, Daikon Carrot Garnish (Daikon Root, Carrots), Toasted Sesame Seeds, Nori Seaweed (Ginger, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Potassium Sorbate, Food Color (red 40).)",16088863,0001-01-01T00:00:00,Ahi and Salmon Poke,8.00,27.2,2.9,1 PLATE,644.7,Starters,1.6,ALL DAY,5.2,148,0
1,"Wheat, Soybeans, Gluten",533,,68.5,0,68.5,"Organic Lettuce, Roasted Hoisin Marinated Chicken (Halal Chicken, Hoisin Glaze (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Honey, Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Canola Oil, Cilantro, Garlic, Green Onions, peppercorns, Star Anise)), Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Cherry Tomatoes, Edamame, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt)",16088864,0001-01-01T00:00:00,Bistro Salad w/ Hoisin Chicken,9.00,28.1,5.2,1 PLATE,653.4,Starters,9.8,ALL DAY,22.5,329,0.1
2,Soybeans,77,,21.8,0,21.8,"Garlic Marinated Beef for Yakitori (Tri Tip, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic, Ginger), Shishito Peppers, Green Onions",16088865,0001-01-01T00:00:00,Garlic Beef Yakitori Skewer,3.00,7.8,0.9,1 EACH,72.4,Starters,1.4,ALL DAY,2.2,36,0
3,"Fish, Soybeans",40,,0,0,0,"Water, Tofu (Water, Soybeans, Calcium sulfate.), Miso Base (Miso (filtered water, soybeans {non-genetically modified}, rice, sea salt, alcohol), filtered water, alcohol, sea salt, yeast extract, bonito powder. ), Green Onions",16088866,0001-01-01T00:00:00,Miso Soup,3.00,3.7,0.2,1 BOWL,391.1,Starters,0.8,ALL DAY,2.4,17,0
4,"Eggs, Fish, Wheat, Soybeans, Gluten",413,,85,0,85,"Cabbage, Okonomiyaki Savory Japanese Pancake Batter (Water, Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Cage Free Eggs, Corn Starch, Salt, Baking Powder), Okono Mayo Sauce (Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Organic Sugar), Okonomi Sauce (Vegan Gluten Free Worcestershire Sauce  (water, molasses, salt, high fructose corn syrup, acetic acid, caramel color, hydrolyzed soy protein (soy), gluten free flour (millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, zanthan gum), natural flavor, guar gum, and benzoate of soda.), Ketchup (Tomato Concentrate, High Fructose Corn Syrup, Corn Syrup, Distilled Vinegar, Salt, Natural Flavor, Onion Powder, Spice, Garlic Powder.), Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Honey), Ahimi (Tomato, soy sauce, sugar, water, sesame oil.), Bean Sprouts, Green Onions, Rice Seasoning (Sesame Seed, Horseradish, Shaved Bonito, Japanese Mustard Plant, Sugar, Seaweed, Soy Sauce (water, soybean, wheat, salt), Salt, Cooking Rice Wine (rice, alcohol, water).), Dried Fish Shavings (Skipjack Tuna.)",16088867,0001-01-01T00:00:00,Okonomiyaki Japanese Savory Pancake,5.00,7.7,4,1 PORTN,1041,Starters,15.9,ALL DAY,41.4,213,0.1
5,Soybeans,210,,0,0,0,"Edamame, Black Sesame Seed, Salt",16088868,0001-01-01T00:00:00,Steamed Edamame,3.00,20.8,0,1 PLATE,192.7,Starters,6.2,ALL DAY,14.5,67,0
6,"Fish, Tree Nuts, Soybeans",686,,63.5,0,63.5,"Tom Kha Broth (Chicken Stock (Water, Carrots, Yellow Onions, Celery, Cracked Black Pepper, Parsley, Cilantro, Bay Leaves), Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Fish Sauce (Water, Anchovy Extract, Salt, Sugar.), Ginger, Lime Juice (Key west lime juice, sodium benzoate.), Fair Trade Organic Sugar Cane, Lemon Grass, LIME LEAVES, Salt), Charred Vegetables (Mixed Color Baby Carrots, Snap Peas, Broccolini, Shitake Mushrooms, Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.)), Roasted Chicken Breast ( Breast Chicken B/S Fresh, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Chili Oil (Canola Oil, Red Pepper, Garlic), Sliced Bamboo Shoots (Bamboo Shoots, Water, Citric Acid.), Cilantro",16088869,0001-01-01T00:00:00,Tom Kha Soup,5.00,26.6,21.1,1 EACH,1460.6,Starters,9.1,ALL DAY,18.9,518,0.1
7,"Eggs, Wheat, Soybeans, Gluten",225,,5.8,0,5.8,"Fried Won Ton Chips (Wonton Skins (Wheat Flour, Water, Eggs, Salt, Sodium Benzoate, Enzyme, Dusted with Cornstarch. ), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)), Bistro Edamame Hummus (Edamame, Tahini Sesame Paste (Pure Ground Hulled Sesame Seeds.), Water, Lime Juice (Key west lime juice, sodium benzoate.), Garlic, Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Cilantro, Salt, Ground Coriander, Ground Cumin), Sweet Chili Sauce (Sugar, Water, Pickled Red Chili, Vinegar, Garlic, Salt, Xanthan Gum (stabilizer).), Nori Seaweed (Ginger, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Potassium Sorbate, Food Color (red 40).)",16088870,0001-01-01T00:00:00,WonTon Hummus Plate,2.00,7.7,0.8,1 EACH,1202.4,Starters,7.9,ALL DAY,29.5,73,0
8,Soybeans,323,,0,0,0,"Organic Lettuce, Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Cherry Tomatoes, Edamame, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt)",16088871,0001-01-01T00:00:00,Bistro Green Salad,6.00,6.4,1.8,1 PLATE,532.4,Share Plates,8.9,ALL DAY,21.5,215,0.1
9,Soybeans,212,,0,0,0,"Organic Lettuce, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Cherry Tomatoes, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt), Edamame",16088872,0001-01-01T00:00:00,Bistro Green Salad Half Order,3.00,3.8,1.2,1 PLATE,350.4,Share Plates,5.1,ALL DAY,13.8,145,0.1
